Date,Open,High,Low,Close
2020-06-09,9709,9855,9630,9758
2020-06-10,9757,9975,9717,9870
2020-06-11,9870,9959,9198,9338
2020-06-12,9343,9558,9245,9457
2020-06-13,9457,9492,9366,9407
2020-06-14,9408,9478,9336,9384
2020-06-15,9384,9484,8927,9484
2020-06-16,9483,9594,9383,9499
2020-06-17,9499,9553,9255,9379
2020-06-18,9373,9476,9318,9349
2020-06-19,9349,9417,9237,9316
2020-06-20,9317,9347,9211,9319
2020-06-21,9319,9405,9301,9313
2020-06-22,9313,9655,9278,9640
2020-06-23,9640,9752,9579,9644
2020-06-24,9635,9669,9216,9296
2020-06-25,9296,9320,9018,9278
2020-06-26,9277,9333,9053,9201
2020-06-27,9201,9212,8859,8957
2020-06-28,8957,9189,8945,9111
2020-06-29,9111,9192,9034,9178
2020-06-30,9179,9231,9069,9150
2020-07-01,9150,9300,9102,9243
2020-07-02,9243,9266,8963,9087
2020-07-03,9087,9147,9066,9097
2020-07-04,9097,9188,9054,9132
2020-07-05,9131,9149,9012,9022
2020-07-06,9022,9353,8938,9280
2020-07-07,9279,9372,9220,9258
2020-07-08,9258,9462,9239,9435
2020-07-09,9435,9473,9197,9244
2020-07-10,9244,9260,9133,9237
2020-07-11,9237,9313,9190,9224
2020-07-12,9224,9345,9176,9240
2020-07-13,9239,9332,9210,9256
2020-07-14,9256,9278,9135,9272
2020-07-15,9272,9277,9170,9216
2020-07-16,9216,9231,9051,9103
2020-07-17,9104,9185,8608,9159
2020-07-18,9159,9208,9131,9185
2020-07-19,9185,9192,9119,9176
2020-07-20,9176,9225,9149,9178
2020-07-21,9178,9440,9155,9382
2020-07-22,9382,9402,9305,9380
2020-07-23,9380,9674,9376,9594
2020-07-24,9594,9634,9482,9629
2020-07-25,9629,9742,9538,9734
2020-07-26,9729,10128,9670,9893
2020-07-27,9893,10906,9882,10862
2020-07-28,10889,11387,10595,10982
2020-07-29,10982,11290,10855,11230
2020-07-30,11219,11335,10871,11155
2020-07-31,11152,11462,10981,11359
2020-08-01,11359,11874,11245,11835
2020-08-02,11835,12097,10711,11102
2020-08-03,11097,11479,10986,11387
2020-08-04,11387,11421,11068,11213
2020-08-05,11216,11724,11117,11692
2020-08-06,11692,11917,11590,11854
2020-08-07,11854,11920,11370,11581
2020-08-08,11581,11812,11549,11715
2020-08-09,11715,11803,11542,11681
2020-08-10,11681,12070,11557,11866
2020-08-11,11871,11940,11159,11239
2020-08-12,11239,11624,11151,11573
2020-08-13,11575,11655,11291,11640
2020-08-14,11621,11864,11621,11777
2020-08-15,11777,11987,11731,11876
2020-08-16,11876,11981,11716,11857
2020-08-17,11857,12466,11779,12329
2020-08-18,12331,12413,11875,12035
2020-08-19,12035,12103,11630,11728
2020-08-20,11733,11896,11697,11871
2020-08-21,11871,11899,11624,11634
2020-08-22,11625,11658,11395,11616
2020-08-23,11616,11724,11537,11680
2020-08-24,11674,11832,11609,11743
2020-08-25,11743,11792,11150,11272
2020-08-26,11275,11542,11270,11499
2020-08-27,11499,11573,11152,11272
2020-08-28,11271,11553,11258,11500
2020-08-29,11500,11591,11448,11528
2020-08-30,11528,11694,11477,11643
2020-08-31,11643,11785,11580,11683
2020-09-01,11685,12062,11561,12023
2020-09-02,12023,12051,11223,11372
2020-09-03,11372,11461,10558,10794
2020-09-04,10793,10812,10042,10610
2020-09-05,10610,10639,9905,10112
2020-09-06,10112,10308,9970,10242
2020-09-07,10243,10354,9893,10142
2020-09-08,10142,10437,9953,10030
2020-09-09,10027,10351,9891,10265
2020-09-10,10265,10476,10187,10307
2020-09-11,10308,10384,10222,10329
2020-09-12,10329,10485,10289,10447
2020-09-13,10446,10586,10231,10324
2020-09-14,10324,10752,10262,10694
2020-09-15,10697,10944,10634,10870
2020-09-16,10870,11101,10681,11000
2020-09-17,11000,11058,10765,10938
2020-09-18,10938,11040,10833,10900
2020-09-19,10900,11164,10892,11093
2020-09-20,11093,11093,10782,10861
2020-09-21,10858,10988,10323,10479
2020-09-22,10479,10539,10379,10520
2020-09-23,10521,10579,10144,10216
2020-09-24,10216,10705,10204,10637
2020-09-25,10624,10772,10576,10713
2020-09-26,10713,10798,10661,10720
2020-09-27,10721,10802,10609,10727
2020-09-28,10727,10948,10712,10871
2020-09-29,10871,10892,10647,10761
2020-09-30,10761,10865,10675,10711
2020-10-01,10707,10920,10471,10613
2020-10-02,10613,10668,10401,10540
2020-10-03,10540,10607,10475,10580
2020-10-04,10580,10700,10536,10652
2020-10-05,10652,10754,10635,10741
2020-10-06,10740,10797,10544,10557
2020-10-07,10557,10678,10546,10660
2020-10-08,10662,10945,10558,10894
2020-10-09,10894,11099,10848,11042
2020-10-10,11041,11464,11029,11371
2020-10-11,11371,11436,11277,11350
2020-10-12,11342,11599,11225,11564
2020-10-13,11564,11719,11322,11437
2020-10-14,11437,11546,11306,11396
2020-10-15,11398,11593,11288,11544
2020-10-16,11558,11558,11231,11314
2020-10-17,11319,11406,11283,11356
2020-10-18,11357,11500,11345,11447
2020-10-19,11447,11811,11419,11732
2020-10-20,11732,12044,11693,11904
2020-10-21,11904,12905,11889,12853
2020-10-22,12856,13216,12706,13128
2020-10-23,13128,13197,12746,12941
2020-10-24,12941,13161,12887,13103
2020-10-25,13103,13339,12911,13040
2020-10-26,13038,13242,12810,13025
2020-10-27,13025,13754,13000,13632
2020-10-28,13619,13847,12925,13208
2020-10-29,13208,13641,12990,13482
2020-10-30,13484,13673,13146,13644
2020-10-31,13644,14047,13440,13841
2020-11-01,13847,13894,13645,13816
2020-11-02,13816,13837,13243,13622
2020-11-03,13619,13798,13308,13733
2020-11-04,13733,14240,13556,14002
2020-11-05,14005,15291,14005,15244
2020-11-06,15244,15937,15206,15561
2020-11-07,15549,15760,14428,14846
2020-11-08,14846,15652,14692,15347
2020-11-09,15333,15845,14866,15392
2020-11-10,15392,15470,15092,15393
2020-11-11,15393,15959,15293,15799
2020-11-12,15799,16204,15499,16150
2020-11-13,16155,16486,15984,16287
2020-11-14,16287,16362,15738,15997
2020-11-15,15996,16149,15824,15865
2020-11-16,15859,16885,15795,16717
2020-11-17,16717,17837,16569,17627
2020-11-18,17633,18467,17318,17781
2020-11-19,17781,18163,17377,17939
2020-11-20,17939,18809,17732,18586
2020-11-21,18586,18964,18443,18638
2020-11-22,18635,18733,17666,18585
2020-11-23,18585,18759,18012,18426
2020-11-24,18419,19414,18120,18938
2020-11-25,18938,19495,18649,18846
2020-11-26,18859,18924,16311,17122
2020-11-27,17122,17463,16508,17037
2020-11-28,17037,17891,16895,17764
2020-11-29,17765,18330,17556,18267
2020-11-30,18267,19835,18094,19376
2020-12-01,19380,19928,18229,19089
2020-12-02,19089,19337,18362,19161
2020-12-03,19160,19618,18920,19465
2020-12-04,19465,19550,18735,18833
2020-12-05,18828,19186,18512,19019
2020-12-06,19019,19339,18895,19246
2020-12-07,19249,19429,18924,19087
2020-12-08,19087,19302,18632,18784
2020-12-09,18776,18823,17653,18550
2020-12-10,18550,18650,17938,18352
2020-12-11,18351,18396,17604,18106
2020-12-12,18106,18837,18033,18794
2020-12-13,18800,19414,18734,19182
2020-12-14,19182,19314,18996,19201
2020-12-15,19199,19561,19086,19431
2020-12-16,19431,21275,19319,21240
2020-12-17,21200,23685,21200,22767
2020-12-18,22775,23278,22398,22911
2020-12-19,22898,24128,22805,24004
2020-12-20,23988,24244,23117,23494
2020-12-21,23406,24094,22080,23146
2020-12-22,23138,23598,22385,23434
2020-12-23,23434,24085,22863,23299
2020-12-24,23295,23546,22689,23384
2020-12-25,23399,24657,23379,24409
2020-12-26,24409,26753,24379,26648
2020-12-27,26666,28326,25824,26303
2020-12-28,26303,27404,26136,26634
2020-12-29,26606,27164,25926,26870
2020-12-30,26870,28980,26870,28896
2020-12-31,28898,29298,27989,28966
2021-01-01,28965,29650,28754,29259
2021-01-02,29243,33219,29050,31690
2021-01-03,31714,34524,31494,33581
2021-01-04,33581,33649,28258,31027
2021-01-05,31029,34221,29991,33788
2021-01-06,33788,36452,33478,35848
2021-01-07,35934,40358,35806,39596
2021-01-08,39596,41958,36722,39927
2021-01-09,39927,41401,38775,40769
2021-01-10,40802,41423,35193,37984
2021-01-11,37984,38931,30323,34184
2021-01-12,34088,36612,32585,34766
2021-01-13,34736,37358,32466,37248
2021-01-14,37248,40030,36799,38863
2021-01-15,38757,39673,34446,36324
2021-01-16,36324,37938,35624,35785
2021-01-17,35935,36828,33928,36530
2021-01-18,36530,37433,34841,36255
2021-01-19,36252,37843,36170,36494
2021-01-20,36494,36788,33487,34892
2021-01-21,34919,35664,31048,31275
2021-01-22,31275,33842,28898,33375
2021-01-23,33375,33642,31471,32340
2021-01-24,32399,33069,31012,31934
2021-01-25,31934,34860,31731,32643
2021-01-26,32681,32812,30921,31993
2021-01-27,31993,32879,29288,31030
2021-01-28,30941,33286,29970,33274
2021-01-29,33274,38641,32002,34715
2021-01-30,34642,35344,32880,34649
2021-01-31,34649,34789,32237,32626
2021-02-01,32608,34698,32397,33667
2021-02-02,33667,35982,33470,35686
2021-02-03,35710,37450,35473,37284
2021-02-04,37284,38725,36281,37712
2021-02-05,37687,38325,36642,37853
2021-02-06,37853,40972,37714,40103
2021-02-07,40085,40481,37422,38610
2021-02-08,38610,44797,38085,44797
2021-02-09,44692,48219,44356,47357
2021-02-10,47357,47357,43783,45039
2021-02-11,45050,48593,44090,46943
2021-02-12,46943,48842,46438,47853
2021-02-13,47962,48143,46342,47210
2021-02-14,47210,49698,46954,48921
